Feature,Count,Missing,Missing %,Min,Max,Mean,Median,Std
Age,12709,0,0.00%,27.0,58.0,40.96648044692738,41.0,7.28312346234962
BMI,12709,0,0.00%,20.8,38.3,26.165252970335985,24.5,4.385031336254181
HR,12709,0,0.00%,41.82333333,156.6233333,78.28076751744355,77.63,13.285747958757165
RR,11083,1626,12.79%,0.0666156838594412,1.43853365384615,0.7985636299855565,0.786293248945148,0.13938421761469055
Cadence,12708,1,0.01%,0.0,61.24666667,4.153836918200189,0.0,6.981089189427944
Speed,12709,0,0.00%,-0.008427192,104.3734822,4.23633502512558,1.33242101,11.076389508664672
PNSindex,11176,1533,12.06%,-4.2179,4.24882,-1.0633518957040882,-1.13693,1.0252001556214403
SNSindex,11176,1533,12.06%,-2.44628,13.77794,1.3510239229400303,1.12899,1.5234318817867947
Stressindex,11176,1533,12.06%,3.23084,47.77822,12.488346090978684,11.54087,4.612521808020471
HR_Baseline,12709,0,0.00%,41.0,92.0,64.15170351719254,62.0,10.519012852130723
HR_Normalized,12709,0,0.00%,-25.76666667,90.62333333,14.129064000272328,13.60666667,11.592922128042078
Sleep_Time,12709,0,0.00%,4.0,11.0,6.837713431426548,7.0,1.5280447747090544
PA_Percent,12709,0,0.00%,0.0,32.4607329842932,11.051342280655028,9.2063492063492,6.626698252306727
PA_Intensity,12709,0,0.00%,0.0,56.7,35.5463687150838,36.4,8.688624146493314
NHR_S,12709,0,0.00%,0.625,100.0,41.97812573766622,36.9047619047619,27.665574908553474
NHR_NS,12709,0,0.00%,0.0,99.375,58.02187426233378,63.0952380952381,27.665574908553808
NHR_0_2SD,12709,0,0.00%,8.5,36.4,16.61549295774648,15.9,5.241232463814139
SNS_S,12709,0,0.00%,0.0,100.0,47.249980328900776,42.6630434782609,34.35288097327057
SNS_NS,12709,0,0.00%,0.0,99.2753623188406,40.687701628767016,37.984496124031,34.23268888536127
SNSindexThreshold,12709,0,0.00%,1.0,1.0,1.0,1.0,0.0
N_MD,12709,0,0.00%,1.0,19.0,8.03170981194429,7.0,5.205489561289366
N_PD,12709,0,0.00%,1.0,18.0,5.6919505861987565,4.0,3.945658839983011
N_TD,12709,0,0.00%,1.0,20.0,7.078684396884098,5.0,5.2294933946669335
N_P,12709,0,0.00%,1.0,20.0,14.739475961916751,16.0,4.782509354709234
N_E,12709,0,0.00%,1.0,20.0,7.663624203320482,6.0,4.963075758474229
N_F,12709,0,0.00%,1.0,20.0,9.32221260524038,10.0,6.6594598639835025
Extraversion,12709,0,0.00%,3.0,9.0,6.071445432370761,6.0,1.8619563096318423
Agreeableness,12709,0,0.00%,3.0,10.0,7.1817609568022664,7.0,1.7644170336139127
Conscientiousness,12709,0,0.00%,5.0,10.0,8.042410889920529,8.0,1.5859624940724617
Neuroticism,12709,0,0.00%,2.0,8.0,4.277755921000866,4.0,1.603464575983102
Openness,12709,0,0.00%,3.0,10.0,7.152018254780077,8.0,1.6949512304408905
