feature,importance
HR_Normalized,0.22010322
Day_WD1,0.05053983
HR_Baseline,0.045099013
N_TD,0.04242118
Openness,0.042074386
BMI,0.041054852
Extraversion,0.039794713
N_P,0.030963134
Neuroticism,0.030038169
Age,0.029427743
PNSindex,0.029349575
N_F,0.0292478
PA_Intensity,0.028887102
PA_Percent,0.028469771
Conscientiousness,0.028251331
N_PD,0.027736258
Day_ND,0.026836932
Agreeableness,0.024539877
HR,0.023582155
N_MD,0.02232667
Day_CD,0.021026194
Gender_F,0.020899737
Cadence,0.02066809
N_E,0.020400528
Sleep_Time,0.019407794
RR,0.017341416
SNSindex,0.017325886
Activity4_NonWork,0.010840881
Stressindex,0.0053018397
Profession_HP,0.0025941697
Speed,0.00245256
Hour,0.000520712
Minute,0.00024106652
Day_WD2,0.00023542966
Period_Morning,0.0
Period_Afternoon,0.0
Profession_SP,0.0
Gender_M,0.0
Activity4_Driving,0.0
Activity4_Work,0.0
